,year,winner,team_one,team_two,score_one,score_two
338,2008,Georgetown,Georgetown,UMBC,66,47
339,2008,Davidson,Georgetown,Davidson,70,74
340,2008,Davidson,Davidson,Wisconsin,73,56
341,2008,Davidson,Gonzaga,Davidson,76,82
342,2008,Wisconsin,Wisconsin,Cal State Fullerton,71,56
343,2008,Wisconsin,Wisconsin,Kansas State,72,55
344,2008,Kansas State,USC,Kansas State,67,80
345,2008,Memphis,Memphis,UT Arlington,87,63
346,2010,Duke,Duke,Arkansas Pine Bluff,73,44
347,2010,Duke,Duke,California,68,53
348,2010,Duke,Duke,Purdue,70,57
349,2010,Duke,Duke,Baylor,78,71
350,2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Winthrop,61,44
351,2010,California,California,Louisville,77,62
352,2010,Purdue,Purdue,Siena,72,64
353,2018,Villanova,Villanova,Radford,87,61
354,2018,Villanova,Villanova,Alabama,81,58
355,2018,Villanova,Villanova,West Virginia,90,78
356,2018,Villanova,Villanova,Texas Tech,71,59
357,2018,Villanova,Villanova,Kansas,95,79
358,2018,Villanova,Villanova,Michigan,79,62
359,2018,Radford,Radford,LIU Brooklyn,71,61
360,2018,Alabama,Virginia Tech,Alabama,83,86
361,2018,Marshall,Wichita State,Marshall,75,81
362,2018,West Virginia,Marshall,West Virginia,71,94
363,2012,Indiana,Indiana,New Mexico State,79,66
364,2012,Indiana,Indiana,VCU,63,61
365,2012,VCU,Wichita State,VCU,59,62
366,2012,Lehigh,Duke,Lehigh,70,75
367,2012,Xavier,Lehigh,Xavier,58,70
368,2012,Baylor,Xavier,Baylor,70,75
369,2009,North Carolina,North Carolina,Radford,101,58
370,2009,North Carolina,North Carolina,LSU,84,70
371,2009,North Carolina,North Carolina,Gonzaga,98,77
372,2009,North Carolina,North Carolina,Oklahoma,72,60
373,2009,LSU,LSU,Butler,75,71
374,2009,Gonzaga,Gonzaga,Akron,77,64
375,2009,Gonzaga,Gonzaga,Western Kentucky,83,81
376,2013,Colorado State,Colorado State,Missouri,84,72
377,2013,Saint Louis,Saint Louis,New Mexico State,64,44
378,2013,Oregon,Saint Louis,Oregon,57,74
379,2013,Oregon,Oklahoma State,Oregon,55,68
380,2013,Duke,Duke,Albany,73,61
381,2013,Duke,Duke,Creighton,66,50
382,2013,Duke,Duke,Michigan State,71,61
383,2013,Creighton,Creighton,Cincinnati,67,63
384,2014,Kentucky,Wichita State,Kentucky,76,78
385,2014,Kentucky,Kentucky,Louisville,74,69
386,2014,Kentucky,Kentucky,Michigan,75,72
387,2014,Kentucky,Kentucky,Wisconsin,74,73
388,2014,Connecticut,Kentucky,Connecticut,54,60
389,2014,Cal Poly,Cal Poly,Texas Southern,81,69
390,2014,Kentucky,Kentucky,Kansas State,56,49
391,2014,Louisville,Louisville,Manhattan,71,64
392,2014,Louisville,Louisville,Saint Louis,66,51
393,2015,Kentucky,Kentucky,Notre Dame,68,66
394,2015,Wisconsin,Kentucky,Wisconsin,64,71
395,2015,Duke,Wisconsin,Duke,63,68
396,2015,Hampton,Hampton,Manhattan,74,64
397,2015,Cincinnati,Cincinnati,Purdue,66,65
398,2015,Maryland,Maryland,Valparaiso,65,62
399,2015,West Virginia,Maryland,West Virginia,59,69
400,2015,West Virginia,West Virginia,Buffalo,68,62
401,2015,Kansas,Kansas,New Mexico State,75,56
402,2016,Maryland,Hawaii,Maryland,60,73
403,2016,Maryland,Maryland,South Dakota State,79,74
404,2016,Villanova,Villanova,UNC Asheville,86,56
405,2016,Villanova,Villanova,Iowa,87,68
406,2016,Villanova,Villanova,Miami (FL),92,69
407,2016,Iowa,Iowa,Temple,72,70
408,2016,Miami (FL),Miami (FL),Buffalo,79,72
409,2016,Miami (FL),Miami (FL),Wichita State,65,57
410,2016,Wichita State,Arizona,Wichita State,55,65
411,2006,Florida,Florida,South Alabama,76,50
412,2006,Florida,Florida,Milwaukee,82,60
413,2006,Milwaukee,Oklahoma,Milwaukee,74,82
414,2006,Duke,Duke,Southern,80,64
415,2017,South Carolina,Florida,South Carolina,70,77
416,2017,Gonzaga,South Carolina,Gonzaga,73,77
417,2017,North Carolina,Gonzaga,North Carolina,65,71
418,2017,Mount St. Mary's,Mount St. Mary's,New Orleans,67,66
419,2017,Wisconsin,Wisconsin,Virginia Tech,84,74
420,2017,Florida,Florida,East Tennessee State,80,65
421,2004,Cincinnati,Cincinnati,East Tennessee State,80,77
422,2004,Illinois,Cincinnati,Illinois,68,92
423,2004,Illinois,Illinois,Murray State,72,53
424,2004,Mississippi State,Mississippi State,Monmouth,85,52
425,2004,Xavier,Mississippi State,Xavier,74,89
426,2004,Xavier,Xavier,Texas,79,71
427,2004,Xavier,Xavier,Louisville,80,70
428,2004,Texas,Texas,Princeton,66,49
429,2007,UCLA,UCLA,Weber State,70,42
430,2007,UCLA,UCLA,Indiana,54,49
431,2007,UCLA,UCLA,Pittsburgh,64,55
432,2007,Indiana,Indiana,Gonzaga,70,57
433,2007,Pittsburgh,Pittsburgh,Wright State,79,58
434,2003,Duke,Duke,Central Michigan,86,60
435,2003,Central Michigan,Creighton,Central Michigan,73,79
436,2003,Kentucky,Kentucky,IUPUI,95,64
437,2003,Kentucky,Kentucky,Utah,74,54
438,2003,Kentucky,Kentucky,Wisconsin,63,57
439,2003,Marquette,Kentucky,Marquette,69,83
440,2003,Utah,Oregon,Utah,58,60
441,2003,Tulsa,Dayton,Tulsa,71,84
