,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,off_rtg,opp_pts,orb_pct,pace,pts,school_name,sos,srs,stl_pct,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
194,49.9,9.3,.462,.383,.234,.337,32,21,11,6,15,98.3,2132,29.6,64.5,2053,Mount St. Mary's,-6.47,-9.56,7.6,15.4,50.0,.499,.344,11,7,8,3
195,54.1,10.7,.535,.318,.279,.394,32,9,3,0,6,107.4,2070,29.5,69.7,2413,Murray State,-6.08,1.99,8.1,17.2,54.5,.568,.719,23,15,15,6
196,49.5,5.4,.468,.391,.223,.323,30,16,10,5,11,99.9,1924,33.6,62.6,1908,Navy,-5.74,-7.36,7.9,15.9,53.3,.502,.467,14,8,10,4
197,44.4,8.9,.500,.300,.193,.271,32,16,7,2,12,102.3,2461,27.2,70.7,2352,Omaha,-0.96,-5.09,7.2,14.9,50.1,.528,.500,16,9,12,4
198,54.2,6.1,.468,.396,.175,.290,32,25,18,11,12,94.1,2499,22.1,72.8,2235,Nebraska,10.66,2.41,9.4,14.2,44.0,.488,.219,7,2,5,0
199,49.8,8.8,.497,.402,.236,.341,32,15,6,6,7,104.4,2242,34.0,67.2,2307,Nevada-Las Vegas,4.76,6.79,9.0,16.4,54.7,.529,.531,17,12,12,5
200,55.0,10.5,.529,.429,.213,.283,31,12,6,3,7,107.2,2243,25.2,71.7,2391,Nevada,4.14,8.91,7.1,14.9,51.8,.561,.613,19,12,12,4
201,52.9,6.1,.477,.418,.172,.256,30,15,8,3,12,97.9,1990,29.4,69.7,2071,New Hampshire,-6.28,-7.60,6.8,15.9,54.0,.502,.500,15,8,10,5
202,57.8,5.7,.539,.469,.225,.314,31,6,0,1,3,110.0,1852,34.8,64.6,2214,New Mexico State,-4.24,4.11,9.5,17.2,56.4,.567,.806,25,16,13,9
203,55.4,8.1,.526,.368,.270,.375,33,14,11,3,9,105.1,2483,27.6,73.0,2531,New Mexico,2.63,3.47,11.1,17.4,49.4,.561,.576,19,7,15,2
204,55.8,5.5,.507,.265,.293,.393,30,21,15,8,13,103.7,2323,28.6,72.7,2262,New Orleans,-4.73,-14.08,10.6,16.9,47.7,.551,.300,9,5,6,3
205,49.7,6.5,.497,.366,.183,.244,32,20,11,3,17,97.9,2316,17.7,66.5,2102,Niagara,-4.33,-11.02,10.3,14.5,41.1,.528,.375,12,9,9,2
206,46.3,10.1,.507,.372,.190,.254,31,10,5,1,8,104.6,2144,30.8,73.0,2388,Nicholls State,-6.02,-3.87,13.5,15.9,48.9,.537,.677,21,15,13,7
207,46.2,8.4,.453,.333,.208,.306,30,21,10,7,14,94.8,2030,25.1,67.0,1904,NJIT,-4.83,-10.14,8.5,14.3,48.0,.486,.300,9,6,5,4
208,53.8,7.4,.481,.413,.239,.336,31,15,4,2,12,99.9,2012,31.1,70.3,2186,Norfolk State,-9.39,-7.76,11.1,17.1,51.2,.518,.516,16,12,11,4
209,46.7,6.5,.488,.367,.262,.380,30,17,8,4,13,97.8,2092,28.5,70.0,2062,North Alabama,-5.82,-9.00,9.2,18.4,51.0,.524,.433,13,8,9,4
210,40.1,6.4,.525,.385,.224,.340,31,16,10,5,10,105.0,2318,24.0,71.2,2326,North Carolina-Asheville,-8.31,-10.31,11.5,14.3,45.7,.549,.484,15,8,10,5
211,57.0,10.0,.477,.319,.249,.408,32,15,4,1,12,95.3,2305,28.8,75.2,2311,North Carolina A&T,-7.86,-9.66,10.7,17.6,49.2,.504,.531,17,12,11,4
212,52.7,8.7,.512,.349,.223,.341,31,13,3,0,13,98.6,2045,29.0,69.6,2162,North Carolina Central,-8.86,-10.04,11.9,19.0,49.4,.537,.581,18,13,12,5
213,46.0,13.7,.501,.422,.165,.261,32,9,5,4,4,106.1,2020,33.8,69.0,2372,North Carolina-Greensboro,-1.48,5.92,13.3,14.0,52.1,.519,.719,23,13,14,9
214,49.0,11.6,.509,.356,.202,.285,32,12,10,4,7,105.3,2231,28.8,70.6,2388,North Carolina State,7.14,12.05,10.8,14.7,49.0,.537,.625,20,10,14,5
215,49.2,8.4,.488,.336,.227,.320,32,22,13,8,12,97.5,2294,24.1,69.6,2186,North Carolina-Wilmington,-0.90,-9.31,8.9,16.6,48.1,.522,.313,10,5,8,1
