,year,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
42,2020,Cal State Fullerton,31,11,20,.355,-6.79,-1.38,6,10,6,8,4,11,2127,2213,69.5,100.7,.352,.323,.533,52.0,48.7,8.6,8.9,.494,16.2,26.1,.256
43,2020,Cal State Northridge,32,15,17,.469,-6.37,-0.97,10,6,10,4,5,12,2435,2528,71.4,110.7,.290,.406,.567,52.7,54.1,7.1,7.9,.541,15.4,31.2,.208
44,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2020,California Baptist,31,21,10,.677,-1.99,-6.66,10,6,15,5,6,5,2465,2170,70.5,98.1,.303,.329,.499,45.2,48.5,8.5,9.9,.468,13.4,24.5,.207
47,2020,UC-Davis,32,14,18,.438,-4.70,-2.63,8,8,8,4,5,12,2330,2286,68.4,103.7,.348,.386,.560,51.7,58.0,8.9,8.1,.527,17.9,27.5,.251
48,2020,UC-Irvine,32,21,11,.656,3.73,-2.18,13,3,11,2,8,8,2367,2087,69.1,94.4,.351,.345,.490,43.3,48.4,7.9,6.4,.448,15.0,24.7,.246
49,2020,UC-Riverside,32,17,15,.531,-3.63,-4.18,7,9,11,5,6,10,2059,1939,64.4,93.7,.304,.329,.495,45.8,49.6,8.6,8.6,.462,15.0,21.2,.209
50,2020,UC-Santa Barbara,31,21,10,.677,-0.57,-4.06,10,6,13,3,8,7,2195,2054,64.9,101.6,.289,.357,.540,46.4,47.1,7.0,7.0,.511,16.4,24.9,.205
51,2020,University of California,32,14,18,.438,3.20,9.05,7,11,12,5,1,10,2023,2210,65.7,103.9,.370,.380,.540,50.4,51.7,7.4,9.6,.499,15.2,26.2,.272
52,2020,Campbell,31,15,16,.484,-8.51,-8.10,6,12,8,5,6,10,2130,2065,67.2,98.8,.391,.336,.531,52.4,43.2,9.6,6.5,.492,18.1,28.0,.275
53,2020,Canisius,32,12,20,.375,-7.60,-5.44,7,13,7,6,4,12,2196,2265,70.3,100.7,.356,.359,.550,51.1,47.3,9.6,7.4,.517,19.2,29.4,.251
54,2020,Central Arkansas,31,10,21,.323,-11.26,-2.70,9,11,8,4,2,16,2316,2553,75.9,105.9,.347,.372,.551,49.7,53.7,12.1,9.0,.518,15.7,28.5,.248
55,2020,Central Connecticut State,31,4,27,.129,-20.33,-4.63,3,15,4,9,0,16,1959,2396,70.7,109.3,.327,.396,.559,55.2,55.5,10.3,10.8,.532,15.9,32.8,.228
56,2020,Central Florida,30,16,14,.533,5.13,4.13,7,11,10,6,4,7,2067,2037,68.7,98.0,.294,.368,.516,50.7,58.0,9.9,7.3,.478,17.9,30.5,.220
57,2020,Central Michigan,32,14,18,.438,-3.40,-0.26,7,11,12,4,2,14,2506,2454,75.0,101.8,.277,.394,.562,51.2,50.5,8.5,8.6,.537,19.4,27.7,.197
58,2020,Charleston Southern,32,14,18,.438,-13.14,-6.98,7,11,9,6,5,11,2203,2304,68.6,103.7,.292,.368,.548,53.7,53.2,9.9,8.1,.522,16.7,28.9,.205
59,2020,Charlotte,29,16,13,.552,0.46,-1.09,10,8,13,2,3,11,1922,1877,66.6,95.9,.276,.399,.529,50.1,50.1,10.3,10.7,.504,18.3,23.4,.187
60,2020,Chattanooga,33,20,13,.606,0.39,-1.90,10,8,10,4,7,8,2410,2261,68.2,100.0,.268,.366,.530,48.3,45.8,8.2,9.2,.504,15.5,23.6,.186
61,2020,Chicago State,29,4,25,.138,-28.20,-2.85,0,14,3,11,1,12,1781,2372,70.3,116.4,.402,.397,.595,54.1,60.4,11.9,6.1,.560,14.6,31.3,.297
62,2020,Cincinnati,30,20,10,.667,12.33,6.73,13,5,13,2,5,6,2182,2014,68.9,94.3,.292,.347,.495,47.5,50.7,9.4,10.7,.457,17.1,28.8,.213
63,2020,Citadel,30,6,24,.200,-13.82,-1.00,0,18,3,11,3,12,2244,2433,75.6,105.9,.274,.430,.553,53.1,51.9,10.0,8.3,.528,16.0,29.3,.193
64,2020,Clemson,31,16,15,.516,10.26,7.88,9,11,11,6,3,8,2062,1988,66.6,95.2,.287,.441,.515,50.7,51.6,9.8,8.3,.483,17.8,24.5,.205
65,2020,Cleveland State,32,11,21,.344,-11.16,-2.45,7,11,6,8,3,13,2053,2298,68.9,103.4,.400,.381,.536,50.8,54.9,10.1,11.1,.494,17.6,33.1,.288
66,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2020,Coastal Carolina,33,16,17,.485,-0.83,-0.31,8,12,9,9,7,7,2573,2518,74.0,103.2,.445,.445,.544,45.9,56.6,10.0,7.7,.498,16.5,27.8,.322
